OBJECTID,Census_Tract,IBL_Rank,EHD_Rank,Env_SEF_Rank,Num_Without_Diploma,Population_Over24,Percent_Without_Diploma,Lower_ME,Upper_ME,SHAPE_Length,SHAPE_Area
1,53053062000,10,10,10,642,2981,21.54,16.47,26.6,9852.89731505865,4550107.89097376
2,53053071601,10,9,10,862,3106,27.75,21.04,34.47,12777.8206710132,8723991.50232722
3,53053073111,6,7,4,223,2678,8.33,5.08,11.58,14200.8871374448,8057220.77207999
4,53053940007,10,10,10,368,1963,18.75,13.32,24.17,10220.3979129131,5453214.69041631
5,53053940006,10,10,10,399,1649,24.2,20.1,28.3,8624.02482979731,3954283.94191364
6,53053073116,6,3,4,235,2858,8.22,5.29,11.16,25342.6691669686,34719611.4559793
7,53053072800,1,3,5,86,5536,1.55,0.42,2.69,38988.3134336044,50699566.9651072
8,53053072107,4,5,4,145,3096,4.68,2.56,6.81,14541.0470312268,10913592.16503
9,53053071703,10,10,10,561,2423,23.15,14.54,31.77,9709.50275178182,1993701.39139527
10,53053073113,4,8,5,215,4011,5.36,2.87,7.85,31969.3150809192,39864826.3387873
11,53053072506,2,2,2,91,2721,3.34,1.32,5.37,35572.9310534022,60040408.1340535
12,53053071411,9,7,8,501,3728,13.44,7.42,19.46,14029.5029489564,7281971.04755643
13,53053071410,8,7,6,589,4890,12.04,7.33,16.76,18707.3182809243,12641622.6942833
14,53053072308,5,4,7,355,5286,6.72,2.12,11.31,32424.8613485412,36741195.6268136
15,53053940010,7,8,4,331,3211,10.31,6.56,14.06,29463.2792279649,19857076.0013992
16,53053071409,9,9,9,376,2764,13.6,8.76,18.44,10111.7817375106,4585684.00585771
17,53053073302,3,8,1,119,3001,3.97,1.99,5.94,16171.6622279769,6656507.41998006
18,53053071803,4,9,9,193,3700,5.22,2.82,7.61,17886.2026997089,9957856.67669097
19,53053073115,6,4,6,241,3031,7.95,5.01,10.89,17207.7311589922,14750328.7572054
20,53053072106,5,8,8,311,4683,6.64,3.04,10.24,12512.9410763868,7363257.11514684
21,53053072105,8,5,5,494,4224,11.7,6.95,16.44,15871.5065588112,10141232.4831373
22,53053062600,5,10,7,145,2237,6.48,3.12,9.84,28138.6565977928,15067400.8701029
