OBJECTID,Census_Tract,IBL_Rank,EHD_Rank,Env_SEF_Rank,Num_Unemployed,Employable_Population_Over15,Percent_Unemployed,Lower_ME,Upper_ME,SHAPE_Length,SHAPE_Area
1,53053062000,8,10,10,190,2265,8.4,5.1,11.7,9852.89731505865,4550107.89097376
2,53053071601,10,9,10,261,2631,10.7,5.9,15.5,12777.8206710132,8723991.50232722
3,53053073111,5,7,4,104,2299,5.1,1.7,8.5,14200.8871374448,8057220.77207999
4,53053940007,10,10,10,183,1529,12.3,7.9,16.7,10220.3979129131,5453214.69041631
5,53053940006,9,10,10,109,1201,10.2,6.1,14.3,8624.02482979731,3954283.94191364
6,53053073116,6,3,4,121,2326,6.1,1.6,10.6,25342.6691669686,34719611.4559793
7,53053072800,10,3,5,359,5026,10.5,6.2,14.8,38988.3134336044,50699566.9651072
8,53053072107,4,5,4,94,2158,4.6,2.1,7.1,14541.0470312268,10913592.16503
9,53053071703,4,10,10,82,2036,4.8,0,9.6,9709.50275178182,1993701.39139527
10,53053073113,8,8,5,281,3722,8.6,1.9,15.3,31969.3150809192,39864826.3387873
11,53053072506,2,2,2,50,1725,3,0.8,5.2,35572.9310534022,60040408.1340535
12,53053071411,7,7,8,185,3335,6.7,3.5,9.9,14029.5029489564,7281971.04755643
13,53053071410,4,7,6,151,3981,4.6,1.3,7.9,18707.3182809243,12641622.6942833
14,53053072308,7,4,7,261,3673,7.1,4.1,10.1,32424.8613485412,36741195.6268136
15,53053940010,5,8,4,116,2664,5.2,1.9,8.5,29463.2792279649,19857076.0013992
16,53053071409,9,9,9,174,2041,9.5,4.6,14.4,10111.7817375106,4585684.00585771
17,53053073302,2,8,1,60,2309,2.8,0.5,5.1,16171.6622279769,6656507.41998006
18,53053071803,10,9,9,343,3477,11.3,4,18.6,17886.2026997089,9957856.67669097
19,53053073115,8,4,6,164,2486,7.3,3.8,10.8,17207.7311589922,14750328.7572054
20,53053072106,7,8,8,182,3633,6.7,2.6,10.8,12512.9410763868,7363257.11514684
21,53053072105,4,5,5,90,2047,4.6,2,7.2,15871.5065588112,10141232.4831373
22,53053062600,2,10,7,63,2195,3.5,1,6,28138.6565977928,15067400.8701029
23,53053073200,8,3,5,221,3387,7.8,4.1,11.5,190464.188463456,1195569293.87768
24,53053072410,6,1,1,97,1669,5.7,1.8,9.6,38541.0907307903,83382798.875369
25,53053073110,2,5,2,54,1857,3.1,1.1,5.1,17871.3342765506,12530020.389328
26,53053073108,5,6,7,213,4362,5,1.9,8.1,21638.6297962309,21354489.629289
27,53053071902,10,8,5,310,2685,12.6,6.5,18.7,24635.8985953029,19594364.7831148
28,53053072307,6,5,5,126,2385,5.9,3,8.8,10566.3034820331,4232697.92808796
29,53053072311,5,7,6,109,2367,5.1,2.6,7.6,11888.7807504978,5311843.15502971
30,53053072109,1,1,2,30,1590,2.1,0.3,3.9,27357.356427764,31577297.9015441
31,53053072407,3,7,3,94,2260,4.1,1.3,6.9,27309.7509676065,20689665.865493
32,53053073001,8,3,5,224,2616,7.3,2.8,11.8,53617.5559728911,140209608.872065
33,53053070100,3,5,6,78,1806,3.9,0,8.1,351469.483108489,4102420407.01235
34,53053073006,10,2,6,216,2025,12.1,6.7,17.5,84043.3807047363,260700619.429783
35,53053070206,10,4,3,298,2374,12.1,8.4,15.8,62629.7413617731,85035356.021888
36,53053071506,3,7,6,99,2570,4.1,2,6.2,16361.6128682939,8488470.91773627
37,53053071504,10,9,9,492,3101,15.7,11.9,19.5,9813.22128173,5729191.99621098
38,53053070309,1,5,1,42,3008,1.5,0,3,28654.1866992362,25072615.9791107
39,53053063501,9,10,10,171,1903,9.1,3.6,14.6,8148.86779353114,4159530.21422654
40,53053071901,9,10,8,216,2476,9.8,1.2,18.4,16531.9308743116,9024737.07984531
41,53053062900,8,10,9,305,4692,7.6,3.6,11.6,14993.2773132707,6456321.80263827
42,53053063000,5,8,9,96,1820,4.9,1.7,8.1,11129.6721276997,4773370.37659846
43,53053070401,5,9,5,52,1062,5.2,1.3,9.1,27120.3130255084,21058363.8417034
44,53053063502,9,10,10,202,2384,9.3,5.1,13.5,8302.29591614674,4190046.8923996
45,53053072405,1,1,1,41,1973,2.2,0.6,3.8,41059.5138731265,59120163.6677752
46,53053061200,7,10,6,196,3060,6.5,4.2,8.8,8061.74497395816,4100678.6443242
47,53053073404,6,7,5,215,3323,6.2,2.8,9.6,16235.6084260302,13854180.0828504
48,53053073005,7,4,7,156,2475,6.6,2.5,10.7,45331.6719473761,115732835.642818
49,53053072504,5,6,3,101,1847,5.2,1.7,8.7,38498.8467476907,49287043.0860762
50,53053072309,7,5,4,229,3426,6.9,3.6,10.2,17387.9283914087,11976540.7369349
51,53053060300,3,6,3,90,2278,4.2,1.7,6.7,24584.0587398033,33426964.6946416
52,53053071706,10,10,9,132,936,14.2,9.2,19.2,12161.9440905078,3507844.62188089
53,53053071705,10,10,10,207,1860,11,5.4,16.6,9905.97951489806,5167034.09156755
54,53053071704,10,9,10,289,2412,11.6,6.4,16.8,8191.38049329859,2924603.98832514
55,53053072408,9,4,3,268,2681,9.7,4.7,14.7,30901.2616595809,44391573.277778
56,53053071403,7,9,7,135,2261,6.6,3.5,9.7,14767.3146233587,13153813.9400327
57,53053070207,1,4,3,57,3011,2.3,0.5,4.1,41358.7857395739,72122111.1556146
58,53053071209,8,6,3,183,2141,8.4,4.8,12,9859.02594265734,5026346.26782538
59,53053072406,1,3,1,67,3081,2.3,0,4.7,28062.2318938922,36507999.9017299
60,53053061601,10,10,9,124,1006,13.6,3.5,23.7,6923.1257070618,1652068.19530754
61,53053061800,3,9,7,44,1429,3.6,0.6,6.6,7469.54722619093,2997811.30541702
62,53053072603,2,3,4,58,2241,3.1,0,6.3,85760.7046050072,428547619.13376
63,53053072602,8,1,4,134,1714,7.4,2.9,11.9,65244.9140997693,178975342.027941
64,53053072601,9,2,3,280,3088,9.3,5.1,13.5,43258.8166240445,102684412.145991
65,53053061500,5,10,6,167,3333,5.2,2.2,8.2,8042.86968480976,2542332.96379331
66,53053072503,8,3,2,171,2204,7.6,3.6,11.6,29083.3128024323,49329462.6557656
67,53053061300,10,10,10,326,2784,13.1,8.7,17.5,7926.90933191958,3415667.08239992
